"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"Российская Федерация","147,182,123","68,431,580","78,750,543","46.5","53.5"
"Городское население","110,075,322","50,506,330","59,568,992","45.9","54.1"
"Сельское население","37,106,801","17,925,250","19,181,551","48.3","51.7"
"Центральный федеральный округ","40,334,532","18,682,816","21,651,716","46.3","53.7"
"Городское население","33,118,003","15,221,976","17,896,027","46.0","54.0"
"Сельское население","7,216,529","3,460,840","3,755,689","48.0","52.0"
"Белгородская область","1,540,486","713,518","826,968","46.3","53.7"
"Городское население","1,005,116","455,531","549,585","45.3","54.7"
"Сельское население","535,370","257,987","277,383","48.2","51.8"
"Городской округ город Белгород - городское население - г. Белгород","339,978","148,364","191,614","43.6","56.4"
"внутригородские округа","","","","",""
"Восточный округ","130,246","57,035","73,211","43.8","56.2"
"Западный округ","209,732","91,329","118,403","43.5","56.5"
"Алексеевский городской округ","59,360","27,706","31,654","46.7","53.3"
"Городское население - г. Алексеевка","36,578","16,873","19,705","46.1","53.9"
"Сельское население","22,782","10,833","11,949","47.6","52.4"
"Валуйский городской округ","65,953","33,096","32,857","50.2","49.8"
"Городское население","39,602","19,364","20,238","48.9","51.1"
"г. Валуйки","33,032","16,285","16,747","49.3","50.7"
"пгт Уразово","6,570","3,079","3,491","46.9","53.1"
"Сельское население","26,351","13,732","12,619","52.1","47.9"
"Грайворонский городской округ","26,857","12,491","14,366","46.5","53.5"
"Городское население - г. Грайворон","6,179","2,690","3,489","43.5","56.5"
"Сельское население","20,678","9,801","10,877","47.4","52.6"
"село Головчино","4,621","2,128","2,493","46.1","53.9"
"прочие сельские населенные пункты","16,057","7,673","8,384","47.8","52.2"
"Губкинский городской округ","114,989","54,057","60,932","47.0","53.0"
"Городское население - г. Губкин","85,225","39,595","45,630","46.5","53.5"
"Сельское население","29,764","14,462","15,302","48.6","51.4"
"поселок Троицкий","5,429","2,447","2,982","45.1","54.9"
"село Скородное","3,416","1,672","1,744","48.9","51.1"
"прочие сельские населенные пункты","20,919","10,343","10,576","49.4","50.6"
"Новооскольский городской округ","39,786","18,494","21,292","46.5","53.5"
"Городское население - г. Новый Оскол","18,359","8,297","10,062","45.2","54.8"
"Сельское население","21,427","10,197","11,230","47.6","52.4"
"Старооскольский городской округ","256,564","117,813","138,751","45.9","54.1"
"Городское население - г. Старый Оскол","221,676","101,279","120,397","45.7","54.3"
"Сельское население","34,888","16,534","18,354","47.4","52.6"
"село Городище","3,420","1,606","1,814","47.0","53.0"
"прочие сельские населенные пункты","31,468","14,928","16,540","47.4","52.6"
"Шебекинский городской округ","85,151","39,397","45,754","46.3","53.7"
"Городское население","45,596","20,446","25,150","44.8","55.2"
"г. Шебекино","39,680","17,729","21,951","44.7","55.3"
"пгт Маслова Пристань","5,916","2,717","3,199","45.9","54.1"
"Сельское население","39,555","18,951","20,604","47.9","52.1"
"село Новая Таволжанка","5,268","2,454","2,814","46.6","53.4"
"прочие сельские населенные пункты","34,287","16,497","17,790","48.1","51.9"
"Яковлевский городской округ","57,428","26,791","30,637","46.7","53.3"
"Городское население","33,849","15,527","18,322","45.9","54.1"
"г. Строитель","23,780","10,801","12,979","45.4","54.6"
"пгт Томаровка","7,394","3,445","3,949","46.6","53.4"
"пгт Яковлево","2,675","1,281","1,394","47.9","52.1"
"Сельское население","23,579","11,264","12,315","47.8","52.2"
"Белгородский муниципальный район","191,744","92,353","99,391","48.2","51.8"
"Городское население","61,047","28,976","32,071","47.5","52.5"
"Сельское население","130,697","63,377","67,320","48.5","51.5"
"Городское поселение поселок Октябрьский - городское население - пгт Октябрьский","8,785","4,065","4,720","46.3","53.7"
"Городское поселение поселок Разумное","28,875","13,706","15,169","47.5","52.5"
"Городское население - пгт Разумное","28,192","13,365","14,827","47.4","52.6"
"Сельское население","683","341","342","49.9","50.1"
"Городское поселение поселок Северный - городское население - пгт Северный","24,070","11,546","12,524","48.0","52.0"
"Беловское сельское поселение - сельское население","6,058","2,940","3,118","48.5","51.5"
"село Беловское","3,141","1,478","1,663","47.1","52.9"
"прочие сельские населенные пункты","2,917","1,462","1,455","50.1","49.9"
"Беломестненское сельское поселение - сельское население","6,092","3,077","3,015","50.5","49.5"
"Бессоновское сельское поселение - сельское население","4,648","2,252","2,396","48.5","51.5"
"Веселолопанское сельское поселение - сельское население","3,593","1,639","1,954","45.6","54.4"
"Головинское сельское поселение - сельское население","2,362","1,167","1,195","49.4","50.6"
"Дубовское сельское поселение - сельское население","18,073","8,494","9,579","47.0","53.0"
"поселок Дубовое","16,101","7,529","8,572","46.8","53.2"
"прочие сельские населенные пункты","1,972","965","1,007","48.9","51.1"
"Ериковское сельское поселение - сельское население","1,364","664","700","48.7","51.3"
"Журавлевское сельское поселение - сельское население","1,262","592","670","46.9","53.1"
"Комсомольское сельское поселение - сельское население","4,492","2,178","2,314","48.5","51.5"
"поселок Комсомольский","4,379","2,125","2,254","48.5","51.5"
"прочие сельские населенные пункты","113","53","60","46.9","53.1"
"Краснооктябрьское сельское поселение - сельское население","3,238","1,520","1,718","46.9","53.1"
"Крутологское сельское поселение - сельское население","1,951","926","1,025","47.5","52.5"
"Майское сельское поселение - сельское население","15,318","7,433","7,885","48.5","51.5"
"поселок Майский","14,143","6,865","7,278","48.5","51.5"
"прочие сельские населенные пункты","1,175","568","607","48.3","51.7"
"Малиновское сельское поселение - сельское население","1,729","826","903","47.8","52.2"
"Никольское сельское поселение - сельское население","7,902","3,901","4,001","49.4","50.6"
"село Никольское","7,443","3,666","3,777","49.3","50.7"
"прочие сельские населенные пункты","459","235","224","51.2","48.8"
"Новосадовское сельское поселение - сельское население","12,741","6,243","6,498","49.0","51.0"
"поселок Новосадовый","7,833","3,868","3,965","49.4","50.6"
"село Ближняя Игуменка","4,908","2,375","2,533","48.4","51.6"
"Пушкарское сельское поселение - сельское население","5,495","2,655","2,840","48.3","51.7"
"село Пушкарное","3,892","1,881","2,011","48.3","51.7"
"прочие сельские населенные пункты","1,603","774","829","48.3","51.7"
"Стрелецкое сельское поселение - сельское население - село Стрелецкое","13,792","6,740","7,052","48.9","51.1"
"Тавровское сельское поселение - сельское население","13,956","6,891","7,065","49.4","50.6"
"село Таврово","13,592","6,706","6,886","49.3","50.7"
"прочие сельские населенные пункты","364","185","179","50.8","49.2"
"Хохловское сельское поселение - сельское население","1,467","735","732","50.1","49.9"
"Щетиновское сельское поселение - сельское население","1,044","502","542","48.1","51.9"
"Яснозоренское сельское поселение - сельское население","3,437","1,661","1,776","48.3","51.7"
"Борисовский муниципальный район","23,904","11,367","12,537","47.6","52.4"
"Городское население","12,553","5,894","6,659","47.0","53.0"
"Сельское население","11,351","5,473","5,878","48.2","51.8"
"Городское поселение поселок Борисовка - городское население - пгт Борисовка","12,553","5,894","6,659","47.0","53.0"
"Акулиновское сельское поселение - сельское население","487","238","249","48.9","51.1"
"Белянское сельское поселение - сельское население","2,392","1,135","1,257","47.4","52.6"
"Березовское сельское поселение - сельское население","1,237","607","630","49.1","50.9"
"Грузсчанское сельское поселение - сельское население","1,407","689","718","49.0","51.0"
"Краснокутское сельское поселение - сельское население","572","269","303","47.0","53.0"
"Крюковское сельское поселение - сельское население","1,136","544","592","47.9","52.1"
"Октябрьско-Готнянское сельское поселение - сельское население","477","234","243","49.1","50.9"
"Стригуновское сельское поселение - сельское население","2,468","1,186","1,282","48.1","51.9"
"Хотмыжское сельское поселение - сельское население","1,175","571","604","48.6","51.4"
"Вейделевский муниципальный район","21,332","10,159","11,173","47.6","52.4"
"Городское население","7,347","3,408","3,939","46.4","53.6"
"Сельское население","13,985","6,751","7,234","48.3","51.7"
"Городское поселение поселок Вейделевка","7,409","3,444","3,965","46.5","53.5"
"Городское население - пгт Вейделевка","7,347","3,408","3,939","46.4","53.6"
"Сельское население","62","36","26","58.1","41.9"
"Белоколодезское сельское поселение - сельское население","1,231","580","651","47.1","52.9"
"Большелипяговское сельское поселение - сельское население","907","444","463","49.0","51.0"
"Викторопольское сельское поселение - сельское население","1,716","804","912","46.9","53.1"
"Должанское сельское поселение - сельское население","1,365","632","733","46.3","53.7"
"Закутчанское сельское поселение - сельское население","1,308","631","677","48.2","51.8"
"Зенинское сельское поселение - сельское население","1,392","683","709","49.1","50.9"
"Клименковское сельское поселение - сельское население","961","462","499","48.1","51.9"
"Кубраковское сельское поселение - сельское население","1,045","493","552","47.2","52.8"
"Малакеевское сельское поселение - сельское население","1,494","753","741","50.4","49.6"
"Николаевское сельское поселение - сельское население","1,644","795","849","48.4","51.6"
"Солонцинское сельское поселение - сельское население","860","438","422","50.9","49.1"
"Волоконовский муниципальный район","29,276","13,839","15,437","47.3","52.7"
"Городское население","14,586","6,710","7,876","46.0","54.0"
"Сельское население","14,690","7,129","7,561","48.5","51.5"
"Городское поселение поселок Волоконовка - городское население - пгт Волоконовка","10,426","4,827","5,599","46.3","53.7"
"Городское поселение поселок Пятницкое","4,284","1,943","2,341","45.4","54.6"
"Городское население - пгт Пятницкое","4,160","1,883","2,277","45.3","54.7"
"Сельское население","124","60","64","48.4","51.6"
"Борисовское сельское поселение - сельское население","758","362","396","47.8","52.2"
"Волчье-Александровское сельское поселение - сельское население","1,069","518","551","48.5","51.5"
"Голофеевское сельское поселение - сельское население","676","331","345","49.0","51.0"
"Грушевское сельское поселение - сельское население","1,294","629","665","48.6","51.4"
"Погромское сельское поселение - сельское население","1,176","566","610","48.1","51.9"
"Покровское сельское поселение - сельское население","1,466","701","765","47.8","52.2"
"Репьевское сельское поселение - сельское население","518","262","256","50.6","49.4"
"Староивановское сельское поселение - сельское население","2,395","1,153","1,242","48.1","51.9"
"Тишанское сельское поселение - сельское население","1,091","526","565","48.2","51.8"
"Фощеватовское сельское поселение - сельское население","1,024","502","522","49.0","51.0"
"Шидловское сельское поселение - сельское население","586","287","299","49.0","51.0"
"Ютановское сельское поселение - сельское население","2,513","1,232","1,281","49.0","51.0"
"Ивнянский муниципальный район","21,650","10,302","11,348","47.6","52.4"
"Городское население","7,134","3,299","3,835","46.2","53.8"
"Сельское население","14,516","7,003","7,513","48.2","51.8"
"Городское поселение поселок Ивня","7,748","3,609","4,139","46.6","53.4"
"Городское население - пгт Ивня","7,134","3,299","3,835","46.2","53.8"
"Сельское население","614","310","304","50.5","49.5"
"Богатенское сельское поселение - сельское население","724","361","363","49.9","50.1"
"Верхопенское сельское поселение - сельское население","2,458","1,185","1,273","48.2","51.8"
"Владимировское сельское поселение - сельское население","569","274","295","48.2","51.8"
"Вознесеновское сельское поселение - сельское население","1,028","494","534","48.1","51.9"
"Драгунское сельское поселение - сельское население","548","274","274","50.0","50.0"
"Кочетовское сельское поселение - сельское население","782","386","396","49.4","50.6"
"Курасовское сельское поселение - сельское население","1,495","698","797","46.7","53.3"
"Новенское сельское поселение - сельское население","1,646","794","852","48.2","51.8"
"Покровское сельское поселение - сельское население","1,054","499","555","47.3","52.7"
"Сафоновское сельское поселение - сельское население","736","345","391","46.9","53.1"
"Сухосолотинское сельское поселение - сельское население","441","222","219","50.3","49.7"
"Сырцевское сельское поселение - сельское население","800","379","421","47.4","52.6"
"Хомутчанское сельское поселение - сельское население","584","287","297","49.1","50.9"
"Череновское сельское поселение - сельское население","1,037","495","542","47.7","52.3"
"Корочанский муниципальный район","35,883","16,709","19,174","46.6","53.4"
"Городское население","5,623","2,473","3,150","44.0","56.0"
"Сельское население","30,260","14,236","16,024","47.0","53.0"
"Городское поселение Город Короча","6,309","2,806","3,503","44.5","55.5"
"Городское население - г. Короча","5,623","2,473","3,150","44.0","56.0"
"Сельское население","686","333","353","48.5","51.5"
"Алексеевское сельское поселение - сельское население","2,160","989","1,171","45.8","54.2"
"Анновское сельское поселение - сельское население","1,098","492","606","44.8","55.2"
"Афанасовское сельское поселение - сельское население","1,439","676","763","47.0","53.0"
"Бехтеевское сельское поселение - сельское население","4,225","1,990","2,235","47.1","52.9"
"село Бехтеевка","3,259","1,551","1,708","47.6","52.4"
"прочие сельские населенные пункты","966","439","527","45.4","54.6"
"Большехаланское сельское поселение - сельское население","930","429","501","46.1","53.9"
"Бубновское сельское поселение - сельское население","667","306","361","45.9","54.1"
"Жигайловское сельское поселение - сельское население","592","282","310","47.6","52.4"
"Заяченское сельское поселение - сельское население","635","304","331","47.9","52.1"
"Коротковское сельское поселение - сельское население","386","178","208","46.1","53.9"
"Кощеевское сельское поселение - сельское население","1,177","552","625","46.9","53.1"
"Ломовское сельское поселение - сельское население","1,743","838","905","48.1","51.9"
"Мелиховское сельское поселение - сельское население","3,162","1,539","1,623","48.7","51.3"
"Новослободское сельское поселение - сельское население","910","416","494","45.7","54.3"
"Плосковское сельское поселение - сельское население","338","170","168","50.3","49.7"
"Плотавское сельское поселение - сельское население","506","235","271","46.4","53.6"
"Погореловское сельское поселение - сельское население","2,880","1,337","1,543","46.4","53.6"
"Поповское сельское поселение - сельское население","1,321","600","721","45.4","54.6"
"Проходенское сельское поселение - сельское население","1,121","525","596","46.8","53.2"
